Team;Total_Points;date
Spain;1877.18;2025-11-19
Argentina;1873.33;2025-11-19
France;1870.00;2025-11-19
England;1834.12;2025-11-19
Brazil;1760.46;2025-11-19
Portugal;1760.38;2025-11-19
Netherlands;1756.27;2025-11-19
Belgium;1730.71;2025-11-19
Germany;1724.15;2025-11-19
Croatia;1716.88;2025-11-19
Morocco;1713.12;2025-11-19
Italy;1702.06;2025-11-19
Colombia;1701.30;2025-11-19
USA;1681.88;2025-11-19
Mexico;1675.75;2025-11-19
Uruguay;1672.62;2025-11-19
Switzerland;1654.69;2025-11-19
Japan;1650.12;2025-11-19
Senegal;1648.07;2025-11-19
IR Iran;1617.02;2025-11-19
Denmark;1616.75;2025-11-19
Korea Republic;1599.45;2025-11-19
Ecuador;1591.73;2025-11-19
Austria;1585.51;2025-11-19
Türkiye;1582.69;2025-11-19
Australia;1574.01;2025-11-19
Canada;1559.15;2025-11-19
Ukraine;1557.47;2025-11-19
Norway;1553.14;2025-11-19
Panama;1540.43;2025-11-19
Poland;1532.04;2025-11-19
Wales;1529.71;2025-11-19
Russia;1524.52;2025-11-19
Egypt;1520.68;2025-11-19
Algeria;1516.37;2025-11-19
Scotland;1506.77;2025-11-19
Serbia;1506.34;2025-11-19
Nigeria;1502.46;2025-11-19
Paraguay;1501.50;2025-11-19
Tunisia;1497.13;2025-11-19
Hungary;1496.29;2025-11-19
Côte d'Ivoire;1489.59;2025-11-19
Sweden;1487.13;2025-11-19
Czechia;1487.00;2025-11-19
Slovakia;1485.65;2025-11-19
Greece;1480.38;2025-11-19
Romania;1465.78;2025-11-19
Venezuela;1465.22;2025-11-19
Costa Rica;1464.24;2025-11-19
Uzbekistan;1462.03;2025-11-19
Qatar;1461.60;2025-11-19
Peru;1459.57;2025-11-19
Chile;1457.84;2025-11-19
Mali;1455.03;2025-11-19
Slovenia;1447.31;2025-11-19
Congo DR;1442.50;2025-11-19
Cameroon;1440.43;2025-11-19
Iraq;1438.92;2025-11-19
Republic of Ireland;1436.04;2025-11-19
Saudi Arabia;1428.74;2025-11-19
South Africa;1426.73;2025-11-19
Burkina Faso;1404.81;2025-11-19
Albania;1401.07;2025-11-19
Honduras;1379.54;2025-11-19
North Macedonia;1378.57;2025-11-19
Jordan;1377.66;2025-11-19
United Arab Emirates;1369.71;2025-11-19
Cabo Verde;1367.95;2025-11-19
Northern Ireland;1366.02;2025-11-19
Jamaica;1362.46;2025-11-19
Bosnia and Herzegovina;1362.37;2025-11-19
Ghana;1351.09;2025-11-19
Georgia;1347.88;2025-11-19
Iceland;1344.72;2025-11-19
Finland;1341.81;2025-11-19
Bolivia;1329.56;2025-11-19
Israel;1328.14;2025-11-19
Gabon;1321.25;2025-11-19
Oman;1312.45;2025-11-19
Kosovo;1308.84;2025-11-19
Guinea;1307.05;2025-11-19
Curaçao;1302.70;2025-11-19
Montenegro;1297.09;2025-11-19
Haiti;1294.49;2025-11-19
Uganda;1288.01;2025-11-19
New Zealand;1279.25;2025-11-19
Syria;1278.10;2025-11-19
Bulgaria;1272.19;2025-11-19
Angola;1271.54;2025-11-19
Zambia;1260.06;2025-11-19
Bahrain;1258.68;2025-11-19
Benin;1255.72;2025-11-19
China PR;1249.06;2025-11-19
Guatemala;1245.77;2025-11-19
Thailand;1243.27;2025-11-19
Palestine;1230.55;2025-11-19
Equatorial Guinea;1229.09;2025-11-19
Trinidad and Tobago;1227.32;2025-11-19
Belarus;1227.09;2025-11-19
El Salvador;1226.65;2025-11-19
Tajikistan;1224.93;2025-11-19
Mozambique;1223.48;2025-11-19
Luxembourg;1218.91;2025-11-19
Kyrgyz Republic;1201.22;2025-11-19
Madagascar;1198.87;2025-11-19
Armenia;1196.08;2025-11-19
Lebanon;1190.64;2025-11-19
Comoros;1189.75;2025-11-19
Niger;1185.09;2025-11-19
Vietnam;1183.62;2025-11-19
Libya;1182.78;2025-11-19
Tanzania;1181.22;2025-11-19
Kenya;1179.54;2025-11-19
Mauritania;1174.19;2025-11-19
