pays, points, date, id, id_num, team_short 
Argentina, 1877.27, 2026-06-11, , , 
Spain, 1874.71, 2026-06-11, , , 
France, 1870.70, 2026-06-11, , , 
England, 1828.02, 2026-06-11, , , 
Portugal, 1767.85, 2026-06-11, , , 
Brazil, 1765.86, 2026-06-11, , , 
Morocco, 1755.10, 2026-06-11, , , 
Netherlands, 1753.57, 2026-06-11, , , 
Belgium, 1742.24, 2026-06-11, , , 
Germany, 1735.77, 2026-06-11, , , 
Croatia, 1714.87, 2026-06-11, , , 
Italy, 1704.73, 2026-06-11, , , 
Colombia, 1698.35, 2026-06-11, , , 
Mexico, 1687.48, 2026-06-11, , , 
Senegal, 1684.07, 2026-06-11, , , 
Uruguay, 1673.07, 2026-06-11, , , 
USA, 1671.23, 2026-06-11, , , 
Japan, 1661.58, 2026-06-11, , , 
Switzerland, 1650.06, 2026-06-11, , , 
IR Iran, 1619.58, 2026-06-11, , , 
Denmark, 1619.47, 2026-06-11, , , 
Türkiye, 1605.73, 2026-06-11, , , 
Ecuador, 1598.52, 2026-06-11, , , 
Austria, 1597.40, 2026-06-11, , , 
Korea Republic, 1591.63, 2026-06-11, , , 
Nigeria, 1585.02, 2026-06-11, , , 
Australia, 1579.34, 2026-06-11, , , 
Algeria, 1571.03, 2026-06-11, , , 
Egypt, 1562.37, 2026-06-11, , , 
Canada, 1559.48, 2026-06-11, , , 
Norway, 1557.44, 2026-06-11, , , 
Ukraine, 1549.29, 2026-06-11, , , 
Côte d'Ivoire, 1540.87, 2026-06-11, , , 
Panama, 1539.16, 2026-06-11, , , 
Russia, 1529.60, 2026-06-11, , , 
Poland, 1526.18, 2026-06-11, , , 
Wales, 1516.95, 2026-06-11, , , 
Sweden, 1509.79, 2026-06-11, , , 
Hungary, 1506.39, 2026-06-11, , , 
Czechia, 1505.74, 2026-06-11, , , 
Paraguay, 1505.35, 2026-06-11, , , 
Scotland, 1503.34, 2026-06-11, , , 
Serbia, 1502.13, 2026-06-11, , , 
Cameroon, 1481.24, 2026-06-11, , , 
Tunisia, 1476.41, 2026-06-11, , , 
Congo DR, 1474.43, 2026-06-11, , , 
Slovakia, 1473.66, 2026-06-11, , , 
Greece, 1473.19, 2026-06-11, , , 
Venezuela, 1469.18, 2026-06-11, , , 
Uzbekistan, 1458.73, 2026-06-11, , , 
Chile, 1458.20, 2026-06-11, , , 
Peru, 1457.69, 2026-06-11, , , 
Costa Rica, 1456.03, 2026-06-11, , , 
Romania, 1455.89, 2026-06-11, , , 
Mali, 1455.59, 2026-06-11, , , 
Qatar, 1450.31, 2026-06-11, , , 
Iraq, 1446.28, 2026-06-11, , , 
Republic of Ireland, 1441.10, 2026-06-11, , , 
Slovenia, 1441.09, 2026-06-11, , , 
South Africa, 1428.38, 2026-06-11, , , 
Saudi Arabia, 1423.88, 2026-06-11, , , 
Burkina Faso, 1406.99, 2026-06-11, , , 
Jordan, 1387.74, 2026-06-11, , , 
Bosnia and Herzegovina, 1387.22, 2026-06-11, , , 
Honduras, 1378.97, 2026-06-11, , , 
Albania, 1376.03, 2026-06-11, , , 
Cabo Verde, 1371.11, 2026-06-11, , , 
United Arab Emirates, 1370.47, 2026-06-11, , , 
North Macedonia, 1369.16, 2026-06-11, , , 
Northern Ireland, 1365.30, 2026-06-11, , , 
Jamaica, 1357.84, 2026-06-11, , , 
Georgia, 1355.26, 2026-06-11, , , 
Ghana, 1346.88, 2026-06-11, , , 
Iceland, 1342.77, 2026-06-11, , , 
Finland, 1341.92, 2026-06-11, , , 
Israel, 1333.90, 2026-06-11, , , 
Bolivia, 1326.00, 2026-06-11, , , 
