"home","away","home win","draw","away win","mlo"
"MEXICO","SOUTHAFRICA",0.466,0.266,0.268,"1-0 (0.122)"
"SOUTHKOREA","CZECHREPUBLIC",0.382,0.248,0.37,"1-1 (0.101)"
"CANADA","BOSNIAANDHERZEGOVINA",0.588,0.237,0.176,"1-0 (0.126)"
"UNITEDSTATES","PARAGUAY",0.464,0.257,0.279,"1-0 (0.117)"
"QATAR","SWITZERLAND",0.133,0.175,0.692,"0-2 (0.074)"
"BRAZIL","MOROCCO",0.337,0.244,0.419,"1-1 (0.101)"
"HAITI","SCOTLAND",0.308,0.264,0.428,"1-1 (0.112)"
"AUSTRALIA","TURKEY",0.375,0.258,0.367,"1-1 (0.107)"
"GERMANY","CURACAO",0.654,0.183,0.162,"2-1 (0.067)"
"IVORYCOAST","ECUADOR",0.338,0.312,0.35,"0-0 (0.15)"
"NETHERLANDS","JAPAN",0.381,0.259,0.36,"1-1 (0.11)"
"SWEDEN","TUNISIA",0.391,0.267,0.341,"1-1 (0.11)"
"BELGIUM","EGYPT",0.48,0.242,0.279,"1-1 (0.096)"
"IRAN","NEWZEALAND",0.536,0.243,0.222,"1-0 (0.115)"
"SPAIN","CAPEVERDE",0.709,0.175,0.115,"2-0 (0.097)"
"SAUDIARABIA","URUGUAY",0.298,0.286,0.417,"0-1 (0.133)"
"FRANCE","SENEGAL",0.385,0.248,0.367,"1-1 (0.101)"
"IRAQ","NORWAY",0.174,0.225,0.602,"0-1 (0.115)"
"ARGENTINA","ALGERIA",0.373,0.28,0.347,"1-0 (0.119)"
"AUSTRIA","JORDAN",0.451,0.262,0.287,"1-0 (0.114)"
"PORTUGAL","DRCONGO",0.478,0.27,0.251,"1-0 (0.133)"
"UZBEKISTAN","COLOMBIA",0.231,0.248,0.52,"0-1 (0.117)"
"ENGLAND","CROATIA",0.46,0.267,0.273,"1-0 (0.123)"
"GHANA","PANAMA",0.259,0.242,0.499,"1-1 (0.103)"
